Item Number,Partnumber,Manufacturer P/N,Manufacturer Name,Manufacturer Family,Part Type,Description,Comment,Value (Numeric),Value (Text),Quantity,Unit of Measure,Manufactured here,RoHS Status,Build Sequence,Revision Name,Revision Status,Revision Reason,Preferred Vendor,Standard Cost,Standard Cost Currency,Standard Lead Time,Standard Cost Minimum,Standard Cost Multiple,Standard Cost Comment
102,F-0019,MF-MSMF050-2,Bourns,,Fuse,PTC RESETTABLE .50A 15V 1812,"","","",2,each,false,true,"",A,Active,"","",,USD,,,,
103,F-0021,MF-MSMF014-2,Bourns,,Fuse,PTC RESETTABLE .14A 60V 1812,"","","",4,each,false,true,"",A,Active,"","",,USD,,,,
104,U-0370,PIC18F25K22-I/SS-PV1,Microchip,,IC,UNPROG IC PIC 18K uC IC 8-Bit 64MHz 32KB 28-SSOP,PIC18F25K22-I/SS,"",1.71,1,each,false,true,"",A,Active,"","",,USD,,,,
105,J-0193,PJRAS4X2U01X,Switchcraft,,Connector,PHONO JACK 8POS R/A WHITE/RED,"","","",1,each,false,true,"",A,Active,"","",,USD,,,,
106,U-0671,1339-31DVGI,Renesas,,IC,"I2C Real Time Clock, MSOP-8","","","",1,each,true,true,"",A,Active,"","",,USD,,,,
107,R-0713,CRCW120610R0FKEAHP,Vishay/Dale,,Resistor,RES 10 ohm 3/4W 1% 1206 SMD,"",10.0,10,1,each,false,true,"",A,Active,Initial Revision,"",0.056,USD,,,,
108,R-0643,CRCW04020000Z0ED,Vishay/Dale,,Resistor,RES 0 ohm 1/16W 0402 SMD,"",0.0,0,6,each,false,true,"",A,Active,Initial Revision,"",0.009,USD,,,,
109,R-0128,CRCW06030000Z0EA,Vashay Dale,,Resistor,RES 0.0 OHM 1/10W 5% 0603 SMD,"",0.0,0,2,each,false,true,"",A,Active,"","",0.0053,USD,,,,
110,R-0559,CRCW04021K00FKED,Vishay/Dale,,Resistor,RES 1 kohm 1/16W 1% 0402 SMD,"",1000.0,1k,15,each,false,true,"",A,Active,Initial Revision,"",0.006,USD,,,,
111,R-1051,CRCW04021K20FKED,Vishay/Dale,,Resistor,RES SMD 1.2K OHM 1% 1/16W 0402,"",1200.0,1.2k,1,each,false,true,"",-,Active,"","",,USD,,,,
112,R-0945,CRCW04021K24FKED,Vishay Dale,,Resistor,RES 1.24k OHM 1/16W 1% 0402 SMD,"",1240.0,1.24k,3,each,true,true,"",1,Active,"","",,USD,,,,
113,R-0641,CRCW04022K00FKED,Vishay/Dale,,Resistor,RES 2.00 Kohm 1/16W 1% 0402 SMD,"",2000.0,2.00k,2,each,false,true,"",-,Active,"","",0.01,USD,,,,
114,R-0610,CRCW04022K10FKED,Vishay/Dale,,Resistor,RES 2.1 Kohm 1/16W 1% 0402 SMD,"",2100.0,2.1k,7,each,false,true,"",A,Active,Initial Revision,"",0.013,USD,,,,
115,R-0892,CRCW04022K20FKED,Vishay Dale,,Resistor,RES SMD 2.2K OHM 1% 1/16W 0402,"","","",1,each,false,true,"",A,Active,Initial Release,"",0.00686,USD,,,,
116,R-0939,CRCW04022K70FKED,Vashay Dale,,Resistor,RES 2.7K OHM 1/16W 1% 0402 SMD,"",2700.0,2.7k,28,each,false,true,"",1,Active,"","",,USD,,,,
117,R-1106,CRCW04023K00FKED,Vishay/Dale,,Resistor,RES 3.0 Kohm 1/16W 1% 0402 SMD,"",3000.0,3k,2,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
118,R-0078,CRCW04024K12FKED,Vashay Dale,,Resistor,RES 4.12K OHM 1/16W 1% 0402 SMD,"",4120.0,4.12k,3,each,false,true,"",A,Active,"","",,USD,,,,
119,R-0481,CRCW04024K70FKED,Vishay Dale,,Resistor,RES SMD 4.7K OHM 1% 1/16W 0402,"","","",4,each,false,true,"",B,Active,"","",0.00686,USD,,,,
120,R-1105,CRCW08055R10FKEA,Vishay/Dale,,Resistor,RES 5.1 OHM 1/8W 1% 0805 SMD,"",5.1,5.1,1,each,true,true,"",A,Active,Initial Revision,"",,USD,,,,
121,R-0947,CRCW04025K49FKED,Vishay Dale,,Resistor,RES 5.49k OHM 1/16W 1% 0402 SMD,"",5490.0,5.49k,1,each,false,true,"",1,Active,"","",,USD,,,,
122,R-0943,CRCW04026K65FKED,Vishay/Dale,,Resistor,RES 6.65 Kohm 1/16W 1% 0402 SMD,"",6650.0,6.65k,1,each,false,true,"",1,Active,"","",,USD,,,,
123,R-0927,PRL1632-R007-F-T1,Susumu,,Resistor,0612 Reverse Thick Film Chip Resistors 1W 7mOHM 1%,"",0.007,7m,1,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
124,R-0949,CRCW04028K45FKED,Vishay/Dale,,Resistor,RES 8.45 Kohm 1/16W 1% 0402 SMD,"",8450.0,8.45k,2,each,false,true,"",1,Active,"","",,USD,,,,
125,R-0478,CRCW04029K31FKED,Vishay Dale,,Resistor,RES SMD 9.31K OHM 1% 1/16W 0402,"",9310.0,9.31k,1,each,false,true,"",A,Active,"","",,USD,,,,
126,R-0558,CRCW040210K0FKED,Vishay/Dale,,Resistor,RES 10 kohm 1/16W 1% 0402 SMD,"",10000.0,10k,94,each,false,true,"",A,Active,Initial Revision,"",0.011,USD,,,,
127,R-0805,CRCW040212K0FKEDC,Vishay/Dale,,Resistor,Thick Film Resistors - SMD 1/16watt 12Kohms 1% Commercial Use,"",12000.0,12k,4,each,false,true,"",-,Active,"","",,USD,,,,
128,R-0761,CRCW040212K1FKED,Vishay/Dale,,Resistor,RES 12.1 Kohm 1/16W 1% 0402 SMD,12.1K,12100.0,12100,1,each,false,true,"",A,Active,Initial Revision,"",0.012,USD,,,,
129,R-0714,CRCW040215K0FKED,Vishay/Dale,,Resistor,RES SMD 15K OHM 1% 1/16W 0402,"",15000.0,15k,3,each,false,true,"",A,Active,Initial Revision,"",0.007,USD,,,,
130,R-1001,CRCW040221K5FKED,Vishay Dale,,Resistor,RES SMD 21.5K OHM 1% 1/16W 0402,"",21500.0,21.5k,1,each,false,true,"",1,Active,"","",,USD,,,,
131,R-0563,CRCW040222R0FKED,Vishay/Dale,,Resistor,RES 22 ohm 1/16W 5% 0402 SMD,"",22.0,22,35,each,false,true,"",A,Active,Initial Revision,"",0.0033,USD,,,,
132,R-0563,CRCW040222R0FKED,Vishay/Dale,,Resistor,RES 22 ohm 1/16W 5% 0402 SMD,"",22.0,22,3,each,false,true,"",A,Active,Initial Revision,"",0.0033,USD,,,,
133,R-0988,CRCW040230K9FKED,Vishay/Dale,,Resistor,RES 30.9 Kohm 1/16W 1% 0402 SMD,"",30900.0,30.9k,2,each,false,true,"",A,Active,"","",0.007,USD,,,,
134,R-0635,CRCW040231K6FKED,Vishay/Dale,,Resistor,RES 31.6 Kohm 1/16W 1% 0402 SMD,"",31600.0,31.6k,2,each,false,true,"",-,Active,"","",0.005,USD,,,,
135,R-0325,CRCW040233R0FKED,Vishay/Dale,,Resistor,RES 33.0 OHM 1/16W 1% 0402 SMD,33 OHM 0402,"","",2,each,false,unknown,"",B,Active,"","",0.00686,USD,,,,
136,R-0692,CRCW040239R0FKED,Vishay/Dale,,Resistor,RES 39 ohm 1/16W 1% 0402 SMD,"",39.0,39,6,each,false,true,"",A,Active,Initial Revision,"",0.009,USD,,,,
137,R-0623,CRCW040241K2FKED,Vishay/Dale,,Resistor,RES 41.2 Kohm 1/16W 1% 0402 SMD,"",41200.0,41.2k,1,each,false,true,"",-,Active,"","",0.01,USD,,,,
138,R-0694,CRCW040247K0FKED,Vishay/Dale,,Resistor,RES 47 Kohm 1/16W 1% 0402 SMD,"",47000.0,47k,1,each,false,true,"",A,Active,Initial Revision,"",0.007,USD,,,,
139,R-0695,CRCW040249R9FKED,Vishay/Dale,,Resistor,RES 49.9 ohm 1/16W 1% 0402 SMD,"",49.9,49.9,7,each,false,true,"",A,Active,Initial Revision,"",0.015,USD,,,,
140,R-0731,CRCW040254K9FKED,Vishay/Dale,,Resistor,RES 54.9 Kohm 1/16W 1% 0402 SMD,"",54900.0,54.9k,1,each,false,true,"",-,Active,"","",0.01,USD,,,,
141,R-0835,CRCW040256K0FKED,Vishay/Dale,,Resistor,"RES 56 Kohm, 1/16W 1% 0402 SMD","",56000.0,56k,2,each,false,true,"",A,Active,Initial Revision,"",0.007,USD,,,,
142,R-0569,CRCW040261K9FKED,Vishay/Dale,,Resistor,RES 61.9 Kohm 1/16W 1% 0402 SMD,"","","",1,each,false,true,"",A,Active,Initial Revision,"",0.005,USD,,,,
143,R-0946,CRCW040263K4FKED,Vishay/Dale,,Resistor,RES 63.4 Kohm 1/16W 1% 0402 SMD,"",63400.0,63.4k,1,each,false,true,"",1,Active,"","",,USD,,,,
144,R-0940,CRCW040269K8FKED,Vishay/Dale,,Resistor,RES 69.8k 1/16W 1% 0402 SMD,"",69800.0,69.8k,11,each,false,true,"",1,Active,"","",,USD,,,,
145,R-0873,CRCW040290R9FKED,Vishay/Dale,,Resistor,RES SMD 90.9 OHM 1% 1/16W 0402,"","","",2,each,false,true,"",A,Active,Initial Release,"",0.00686,USD,,,,
146,R-0806,CRCW0603100RFKEA,Vishay Dale,,Resistor,"Resistor, 100, 1%, 0.1W, 0603 (1608 Metric)","","","",2,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
147,R-0556,CRCW0402100KFKED,Vishay/Dale,,Resistor,RES 100k ohm 1/16W 1% 0402 SMD,"",100000.0,100k,16,each,false,true,"",A,Active,Initial Revision,"",0.005,USD,,,,
148,R-0260,CRCW0402121RFKED,Vishay Dale,,Resistor,RES 121 OHM 1/16W 1% 0402 SMD,"","","",1,each,false,unknown,"",B,Active,"","",,USD,,,,
